brand,model,model_year,milage,fuel_type,engine,transmission,ext_col,int_col,accident,clean_title,price,seats,torque_nm,mileage_kmpl
Nissan,Armada SL,2022,"14,735 mi.",Gasoline,5.6 Liter,Automatic,White,Black,None reported,,"$50,998",5,756.0,13.077939551250156
Audi,Q5 Premium,2023,"2,425 mi.",Hybrid,2.0 Liter TFSI,Automatic,Mythos Black,–,None reported,,"$42,998",5,270.0,9.685075708445096
Ford,Shelby GT500 Base,2022,"2,050 mi.",Gasoline,760.0HP 5.2L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Black,None reported,Yes,"$94,999",5,702.0,14.390740695508203
Lincoln,Navigator L Reserve,2019,"64,855 mi.",Gasoline,450.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,Silver,Beige,None reported,Yes,"$46,995",5,472.0,9.894675171612349
Mercedes-Benz,EQS 450+ Base,2022,"16,238 mi.",,329.0HP Electric Motor Electric Fuel System,1-Speed A/T,White,Beige,None reported,Yes,"$62,479",5,472.0,12.937800557491482
RAM,1500 Laramie,2022,"18,051 mi.",Gasoline,5.7L V8 16V MPFI OHV,Automatic,Patriot Blue Pearlcoat,Black,None reported,Yes,"$47,995",5,770.0,8.134256850716353
Lincoln,Town Car Base,2004,"36,524 mi.",Gasoline,239.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,4-Speed A/T,Black,Black,None reported,Yes,"$14,900",5,621.0,12.77096554799382
Acura,TLX w/A-Spec Package,2022,"14,896 mi.",Gasoline,2.0 Liter DOHC Turbo,2,Lunar Silver Metallic,Ebony,None reported,,"$39,998",5,270.0,11.423913567765304
Toyota,Camry Hybrid LE,2022,"14,048 mi.",Hybrid,2.5L I4 16V PDI DOHC Hybrid,Automatic CVT,Black,Black,None reported,,"$29,999",5,338.0,9.099506571740855
Honda,CR-V EX,2003,"224,000 mi.",Gasoline,160.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,M/T,Black,Gray,None reported,Yes,"$3,900",5,324.0,14.379910849631598
Mercedes-Benz,E-Class E 550,2014,"80,581 mi.",Gasoline,402.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Beige,None reported,Yes,"$26,000",5,634.0,11.615621956804922
Mazda,MX-5 Miata Grand Touring,2007,"81,400 mi.",Gasoline,166.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Red,–,At least 1 accident or damage reported,Yes,"$11,000",5,270.0,9.733402034551345
Porsche,718 Boxster Base,2019,"6,700 mi.",Gasoline,300.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,7-Speed A/T,Gray,Black,None reported,Yes,"$63,000",5,270.0,8.710862455561218
Ford,Transit-350 XLT,2015,"143,000 mi.",Gasoline,275.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Silver,Gray,None reported,Yes,"$22,500",5,500.0,12.74022123977936
Kia,Sportage SX Turbo,2017,"87,842 mi.",Gasoline,2.0L I4 16V GDI DOHC Turbo,6-Speed Automatic,Black Cherry,Black,None reported,Yes,"$18,688",5,270.0,14.298957151722933
INFINITI,G37 S Sport,2010,"116,451 mi.",Gasoline,328.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,6-Speed M/T,White,Gray,None reported,Yes,"$16,500",5,500.0,13.81748510565874
Nissan,Titan XD S,2019,"53,677 mi.",Gasoline,390.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Red,Gray,None reported,Yes,"$27,900",5,756.0,13.691757422783017
Audi,S7 2.9T Prestige,2021,"12,000 mi.",Hybrid,444.0HP 2.9L V6 Cylinder Engine Gasoline/Mild Electric Hybrid,8-Speed A/T,Gray,Black,None reported,Yes,"$77,500",5,392.0,12.967105252964846
Land,Rover Discovery HSE,2019,"20,034 mi.",Gasoline,3.0 Liter,Automatic,Yulong White,Tan/Ebony,None reported,,"$43,998",5,405.0,12.380697608654977
Ford,Transit-350 XLT,2020,"32,000 mi.",Diesel,210.0HP 2.0L 4 Cylinder Engine Diesel Fuel,A/T,Black,Black,None reported,Yes,"$68,000",5,460.0,8.025309859239654
INFINITI,Q70 3.7,2014,"70,312 mi.",Gasoline,330.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Black,None reported,Yes,"$19,995",5,500.0,10.664479800367708
Jeep,Gladiator Rubicon,2022,"8,794 mi.",Gasoline,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,Yes,"$54,000",5,486.0,10.65606918395087
Lincoln,MKX Base,2010,"156,000 mi.",Gasoline,265.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,"$5,900",5,472.0,8.865884554889
Porsche,911 Carrera 4S,2020,"25,568 mi.",Gasoline,3.0L H6 24V GDI DOHC Twin Turbo,7-Speed Manual,Red,Black,None reported,Yes,"$134,999",5,405.0,12.073478493928487
Mercedes-Benz,AMG C 43 Base 4MATIC,2018,"67,100 mi.",Gasoline,362.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Black,At least 1 accident or damage reported,Yes,"$34,250",5,405.0,14.933559873624638
Porsche,Cayman Base,2014,"52,000 mi.",Gasoline,275.0HP 2.7L Flat 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Blue,Beige,At least 1 accident or damage reported,Yes,"$37,000",5,364.0,9.570429370035525
Acura,MDX 3.7L Advance,2011,"137,200 mi.",Gasoline,300.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Gray,None reported,Yes,"$12,000",7,500.0,12.261545192129812
Volkswagen,Golf R 4-Door w/DCC & Navigation,2018,"36,000 mi.",Gasoline,292.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,7-Speed A/T,White,Black,At least 1 accident or damage reported,Yes,"$32,000",5,270.0,9.75290186198647
Kia,Forte GT-Line,2023,"15,500 mi.",Gasoline,147.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,CVT Transmission,White,Black,At least 1 accident or damage reported,Yes,"$24,500",5,270.0,13.97529847337412
BMW,M8 Competition,2020,"10,906 mi.",Gasoline,4.4 Liter Twin Turbo,Automatic,Donington Grey Metallic,Black,None reported,,"$96,998",5,594.0,9.52486894388388
Lincoln,MKC Select,2019,"49,814 mi.",Gasoline,2.0L I4 16V GDI DOHC Turbo,6-Speed Automatic,Ruby Red Metallic Tinted Clearcoat,Cappuccino,None reported,,"$26,545",5,270.0,8.109733564669819
BMW,i8 Base,2015,846 mi.,Plug-In Hybrid,357.0HP 1.5L 3 Cylinder Engine Plug-In Electric/Gas,A/T,White,White,None reported,Yes,"$86,999",5,202.0,8.527883297860232
Toyota,Highlander XLE,2021,"67,039 mi.",Gasoline,3.5L V6 24V PDI DOHC,8-Speed Automatic,Blue,Black,None reported,,"$34,645",5,472.0,13.689691413911095
Mazda,CX-30 Premium Package,2023,"2,636 mi.",Gasoline,2.5L I4 16V,6-Speed Automatic,Platinum Quartz Metallic,Black,None reported,,"$28,535",5,338.0,14.28479467207396
Porsche,Cayenne Platinum Edition,2018,"50,166 mi.",Gasoline,3.6L V6 24V GDI DOHC,8-Speed Automatic,White,Black,At least 1 accident or damage reported,Yes,"$43,550",5,486.0,12.652343081723505
Lincoln,MKZ Reserve,2017,"37,375 mi.",Gasoline,400.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Blue,Brown,None reported,Yes,"$27,500",5,405.0,11.359010070018092
Tesla,Model 3 Standard Range Plus,2021,"21,600 mi.",,271.0HP Electric Motor Electric Fuel System,A/T,White,Black,None reported,Yes,"$31,000",5,472.0,10.497011609731114
Porsche,718 Cayman S,2019,"9,500 mi.",Gasoline,350.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,7-Speed A/T,Red,Black,At least 1 accident or damage reported,Yes,"$69,000",5,338.0,14.75455458159266
Chevrolet,Corvette Base,2005,"143,095 mi.",Gasoline,400.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,4-Speed A/T,Red,Black,None reported,Yes,"$16,000",5,810.0,14.208700111450984
Acura,RSX Type S,2002,"80,000 mi.",Gasoline,200.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Beige,Beige,At least 1 accident or damage reported,Yes,"$8,500",5,270.0,12.054618453842789
Ferrari,Roma Base,2021,"3,000 mi.",Gasoline,611.0HP 3.9L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Blue,Brown,None reported,Yes,"$275,000",5,526.0,12.70325311176956
Porsche,Cayman S,2007,"5,856 mi.",Gasoline,295.0HP 3.4L Flat 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Black,None reported,Yes,"$45,000",5,459.0,14.315075743402176
Rolls-Royce,Phantom Drophead Coupe Drophead,2013,"2,958 mi.",Gasoline,6.8L V12 48V GDI DOHC,8-Speed Automatic,Yellow,–,None reported,Yes,"$488,880",5,918.0,11.114727896523709
Audi,SQ7 4.0T,2022,"28,927 mi.",Gasoline,4.0L V8 32V GDI DOHC Twin Turbo,Automatic,Matador Red Metallic,Black,None reported,,"$74,900",5,540.0,8.65098123407577
Mercedes-Benz,AMG GLS 63 4MATIC,2022,"4,102 mi.",Hybrid,603.0HP 4.0L 8 Cylinder Engine Gasoline/Mild Electric Hybrid,9-Speed A/T,Black,Black,None reported,Yes,"$144,664",5,540.0,11.385753003556552
Honda,Ridgeline RTL-E,2021,"14,442 mi.",Gasoline,280.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,9-Speed A/T,White,Beige,None reported,Yes,"$38,500",5,472.0,8.282227700594333
Mercedes-Benz,CLK-Class 500 Cabriolet,2005,"64,000 mi.",Gasoline,302.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Silver,Black,None reported,Yes,"$12,995",5,675.0,8.168291439199676
Lexus,GX 470 Base,2004,"154,000 mi.",Gasoline,235.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,A/T,White,Beige,At least 1 accident or damage reported,Yes,"$10,000",5,634.0,14.133508271090458
Lexus,NX 200t Base,2015,"54,000 mi.",Gasoline,235.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Black,None reported,Yes,"$27,000",5,270.0,10.011824938096986
Dodge,Dakota SLT Quad Cab,2007,"232,492 mi.",Gasoline,210.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,4-Speed A/T,Silver,Gray,At least 1 accident or damage reported,Yes,"$6,000",5,500.0,8.570307053829858
Maserati,Ghibli S Q4 GranSport,2020,"25,721 mi.",Gasoline,3.0L V6 24V GDI DOHC Twin Turbo,8-Speed Automatic,Blu,Nero,None reported,Yes,"$52,645",5,405.0,12.10291431920859
Land,Rover Discovery Sport SE R-Dynamic,2020,"20,927 mi.",Gasoline,2.0 Liter,Automatic,Fuji White,–,None reported,,"$35,998",5,270.0,13.652201224895292
Aston,Martin DBX Base,2021,"2,353 mi.",Gasoline,4.0L V8 32V GDI DOHC Twin Turbo,9-Speed Automatic,Green,Sahara Tan,None reported,Yes,"$159,500",5,540.0,12.784911372416836
Audi,Q3 45 S line Premium,2022,"9,325 mi.",Gasoline,2.0L I4 16V GDI DOHC Turbo,8-Speed Automatic,Mythos Black Metallic,Black,None reported,,"$33,610",5,270.0,13.02371674158872
Ford,Explorer XLT,2020,"61,001 mi.",Gasoline,2.3L I4 16V GDI DOHC Turbo,10-Speed Automatic,Gray,Ebony,At least 1 accident or damage reported,Yes,"$28,616",5,310.0,14.0037306680679
Mercedes-Benz,AMG GLC 63 Base 4MATIC,2018,"71,962 mi.",Gasoline,469.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,9-Speed A/T,White,Black,None reported,Yes,"$46,900",5,540.0,9.532709831742672
Subaru,BRZ Premium,2023,"5,800 mi.",Gasoline,228.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Black,None reported,Yes,"$29,990",5,324.0,10.802778454159672
BMW,640 i,2016,"40,080 mi.",Gasoline,315.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None reported,Yes,"$28,499",5,405.0,10.703360995899176
Kia,Stinger GT2,2020,"57,000 mi.",Gasoline,365.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Red,At least 1 accident or damage reported,Yes,"$36,500",5,446.0,8.090039469804603
Chevrolet,Bolt EUV Premier,2022,"7,624 mi.",,Electric,1-Speed Automatic,Mosaic Black Metallic,Jet Black,None reported,Yes,"$31,985",5,716.0,11.440053833934382
Subaru,Forester 2.5 XT,2004,"122,000 mi.",Gasoline,210.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,5-Speed M/T,Gold,Black,At least 1 accident or damage reported,Yes,"$9,999",5,338.0,13.165189584264557
Kia,Sportage X-Pro,2023,459 mi.,Gasoline,2.5L I4 16V PDI DOHC,8-Speed Automatic,Jungle Green,Black,None reported,,"$36,998",5,338.0,10.395983131985838
BMW,M4 Base,2016,"62,500 mi.",Gasoline,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Orange,At least 1 accident or damage reported,Yes,"$40,500",5,405.0,9.26306745542899
Hyundai,Equus Signature,2013,"72,000 mi.",Gasoline,429.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Silver,Black,None reported,Yes,"$17,500",5,675.0,8.495159240767418
Mercedes-Benz,AMG E 53 4MATIC,2020,"8,375 mi.",Gasoline,"AMG 3L I-6 gasoline direct injection, DOHC, variable valve contr","Automatic, 9-Spd 9G-Tronic",BLACK,BLACK,None reported,,"$69,900",5,405.0,14.93737232430972
BMW,M550 i xDrive,2020,"40,000 mi.",Gasoline,523.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Blue,Black,None reported,Yes,"$53,000",5,594.0,8.084679266439394
Subaru,Impreza WRX STI,2014,"77,000 mi.",Gasoline,305.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Gray,Black,At least 1 accident or damage reported,Yes,"$30,000",5,338.0,13.72844837947142
Mercedes-Benz,AMG G 63 Base,2019,"19,593 mi.",Gasoline,4.0 Liter Twin Turbo,Automatic,Black,Black,None reported,,"$159,998",5,540.0,10.2383693900926
Mazda,Mazda6 Grand Touring,2020,"35,902 mi.",Gasoline,2.5L I4 16V GDI DOHC Turbo,6-Speed Automatic,Deep Crystal Blue Mica,Black,None reported,,"$22,966",5,338.0,10.1819032144001
Hyundai,Veloster Base,2013,800 mi.,Gasoline,132.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Gray,None reported,Yes,"$9,800",5,216.0,13.448577037990235
Bentley,Bentayga S,2023,"2,600 mi.",Gasoline,4.0L V8 32V GDI DOHC Twin Turbo,8-Speed Automatic,Beluga Black,Hotspur,None reported,Yes,"$239,995",5,540.0,10.794416424670477
Land,Rover Defender X-Dynamic SE,2023,"6,204 mi.",Hybrid,3.0 Liter,Automatic,Eiger Grey,–,None reported,,"$79,998",5,405.0,13.588622989999518
Kia,Telluride SX,2020,"69,185 mi.",Gasoline,3.8L V6 24V GDI DOHC,8-Speed Automatic,Ebony Black,Gray,None reported,,"$37,405",5,513.0,11.774221556712623
Maserati,GranTurismo Sport,2015,"45,000 mi.",Gasoline,454.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,None reported,Yes,"$41,900",5,634.0,14.824826335761188
BMW,540 i xDrive,2020,"37,426 mi.",Gasoline,2.0 Liter Turbo,Automatic,White,Black,None reported,,"$39,998",5,270.0,9.75476979213184
INFINITI,M56 Base,2011,"137,000 mi.",Gasoline,420.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Brown,At least 1 accident or damage reported,Yes,"$8,500",5,756.0,11.353758316666678
Mazda,Mazda3 s Grand Touring,2016,"85,000 mi.",–,–,A/T,Black,Black,At least 1 accident or damage reported,Yes,"$18,500",5,338.0,14.203330777294711
Chevrolet,Corvette Stingray w/1LT,2023,"4,000 mi.",Gasoline,490.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Red,At least 1 accident or damage reported,Yes,"$73,900",5,837.0,8.880614175777975
Audi,Q5 S line Premium Plus,2023,"4,648 mi.",Hybrid,2.0 Liter TFSI,Automatic,Mythos Black,Black,None reported,,"$47,598",5,270.0,13.723193866010254
Lexus,GX 460 Base,2018,"52,100 mi.",Gasoline,301.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Beige,None reported,Yes,"$38,000",5,621.0,8.535502577252286
BMW,X1 sDrive28i,2014,"50,100 mi.",Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Brown,Beige,None reported,Yes,"$10,795",5,270.0,11.2538056968946
Alfa,Romeo Stelvio Ti,2020,"41,000 mi.",Gasoline,280.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Black,None reported,Yes,"$32,400",5,270.0,12.9611509194668
RAM,1500 Big Horn,2021,"70,968 mi.",Gasoline,395.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None reported,Yes,"$34,000",5,770.0,10.37085288128256
BMW,M4 Base,2015,"26,600 mi.",Gasoline,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,A/T,White,–,None reported,Yes,"$53,000",5,405.0,11.0683195713205
Tesla,Model X Long Range,2022,"15,443 mi.",,670.0HP Electric Motor Electric Fuel System,1-Speed A/T,Red,Black,None reported,Yes,"$84,500",5,472.0,14.54568268649123
Volvo,S90 T5 Momentum,2018,"95,000 mi.",Gasoline,250.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Beige,None reported,Yes,"$18,000",5,270.0,11.100601494759433
Subaru,Impreza WRX Sti,2005,"94,000 mi.",Gasoline,300.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Blue,None reported,Yes,"$19,500",5,338.0,9.098299814188156
BMW,X6 xDrive40i,2020,"45,076 mi.",Gasoline,3.0 Liter Turbo,Automatic,Blue,Black,None reported,,"$57,998",5,405.0,12.072021810197228
Cadillac,CTS 2.0L Turbo Luxury,2014,"110,000 mi.",Gasoline,272.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Gold,Beige,None reported,Yes,"$11,000",5,270.0,14.930909267032543
Land,Rover Discovery Sport HSE,2016,"49,083 mi.",Gasoline,2.0L I4 16V GDI DOHC Turbo,9-Speed Automatic,Indus Silver,Ebony,None reported,,"$21,590",5,270.0,13.226582306356155
Genesis,G90 5.0 Ultimate,2017,"63,500 mi.",Gasoline,420.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Silver,Black,None reported,Yes,"$27,500",5,675.0,12.02023806775143
Mercedes-Benz,CLK-Class CLK 350,2009,"21,500 mi.",Gasoline,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,At least 1 accident or damage reported,Yes,"$18,000",5,472.0,11.36355188333694
Land,Rover Range Rover Autobiography,2023,324 mi.,Gasoline,4.4 Liter,Automatic,Black,Blk,None reported,,"$199,998",5,594.0,10.954199086455334
Kia,Optima EX,2019,"68,166 mi.",Gasoline,"1.6L I-4 gasoline direct injection, DOHC, variable valve control",Automatic,Ebony Black,Black,None reported,,"$20,818",5,216.0,8.08595721251392
Toyota,Highlander SE,2018,"53,607 mi.",Gasoline,3.5L V6 24V PDI DOHC,8-Speed Automatic,Midnight Black Metallic,Black,At least 1 accident or damage reported,,"$31,853",5,472.0,9.846481295184793
Mercedes-Benz,Sprinter 4500 High Roof,2019,"16,813 mi.",Diesel,188.0HP 3.0L V6 Cylinder Engine Diesel Fuel,Transmission w/Dual Shift Mode,Gray,Black,,,"$45,900",5,690.0,11.635468088573075
BMW,X1 xDrive28i,2020,"18,200 mi.",Gasoline,228.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,White,Beige,At least 1 accident or damage reported,Yes,"$29,500",5,270.0,10.661418242345915
Audi,R8 5.2,2015,"51,000 mi.",Gasoline,550.0HP 5.2L 10 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Black,At least 1 accident or damage reported,Yes,"$102,000",5,702.0,12.938685033020615
Audi,S3 2.0T Tech Premium Plus,2018,"16,400 mi.",Gasoline,292.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Blue,Red,None reported,Yes,"$42,800",5,270.0,8.07626904535795
Toyota,Tundra Hybrid TRD Pro,2022,"7,000 mi.",Hybrid,437.0HP 3.4L V6 Cylinder Engine Gas/Electric Hybrid,10-Speed A/T,Orange,–,None reported,Yes,"$75,500",5,459.0,9.80409523253229
Audi,SQ5 3.0T Premium Plus,2022,"8,497 mi.",Gasoline,3.0L V6 24V GDI DOHC Turbo,Automatic,Ibis White,Black,None reported,,"$52,900",5,405.0,13.972801939687844
Audi,A6 2.0T Premium Plus,2016,"68,000 mi.",Gasoline,252.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Black,At least 1 accident or damage reported,Yes,"$20,000",5,270.0,10.70809949180089
Lamborghini,Huracan EVO Base,2022,"2,523 mi.",Gasoline,5.2L V10 40V GDI DOHC,7-Speed Manual,Bianco Icarus Metallic,Nero Ade,None reported,,"$288,900",5,702.0,10.95553962982011
BMW,328 xi,2007,"83,000 mi.",Gasoline,230.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Brown,None reported,Yes,"$8,995",5,405.0,14.196161176217013
Audi,SQ5 3.0T Prestige,2018,"25,000 mi.",Gasoline,354.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,Black,None reported,Yes,"$50,000",5,405.0,8.555465954624882
Cadillac,Escalade Sport Platinum,2021,"15,689 mi.",Diesel,3.0L I6 24V DDI DOHC Turbo Diesel,10-Speed Automatic,Infrared Tintcoat,Jet Black,None reported,,"$97,952",5,690.0,14.647496194400464
BMW,M235 i,2014,"125,450 mi.",Gasoline,320.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Blue,Black,None reported,Yes,"$17,200",5,405.0,13.179068205793476
Kia,Telluride SX,2023,"9,822 mi.",Gasoline,3.8L V6 24V GDI DOHC,8-Speed Automatic,Midnight Black,Gray,None reported,,"$50,998",5,513.0,11.84503301148245
Chevrolet,Express 3500 Base,2008,"144,000 mi.",Gasoline,323.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,A/T,White,Gray,None reported,Yes,"$22,000",5,810.0,8.864092249865937
GMC,Acadia SLE,2020,"30,900 mi.",Gasoline,2.5L I4 16V GDI DOHC,9-Speed Automatic,Summit White,Jet Black,None reported,Yes,"$27,654",5,338.0,8.481595538932485
BMW,X3 xDrive30i,2021,"2,492 mi.",Gasoline,2.0 Liter Turbo,Automatic,Phytonic Blue Metallic,Canberra Beige/Black,None reported,,"$41,598",5,270.0,14.16665274092139
Audi,TT 2.0T,2015,"126,760 mi.",Gasoline,211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Black,Black,At least 1 accident or damage reported,Yes,"$14,000",5,270.0,13.83174933388549
Subaru,Outback 3.6R Touring,2017,"100,680 mi.",Gasoline,256.0HP 3.6L Flat 6 Cylinder Engine Gasoline Fuel,A/T,Brown,–,None reported,Yes,"$20,500",5,486.0,13.17836265291679
Mitsubishi,Eclipse Spyder GS,2001,"90,400 mi.",Gasoline,140.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,A/T,Red,–,None reported,Yes,"$4,495",5,324.0,11.162035845780892
Hyundai,Santa Fe SEL,2022,"26,895 mi.",Gasoline,2.5L I4 16V PDI DOHC,8-Speed Automatic,Quartz White,Black,,,"$29,800",5,338.0,11.366443988376531
BMW,M5 Base,2018,"20,500 mi.",Gasoline,600.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Silver,Black,None reported,Yes,"$67,000",5,594.0,8.99036582338602
Dodge,Ram 1500 ST,2011,"134,000 mi.",Gasoline,390.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Gray,At least 1 accident or damage reported,Yes,"$10,500",5,770.0,8.182003682845682
Ford,Fusion Energi Titanium,2015,"84,352 mi.",Plug-In Hybrid,188.0HP 2.0L 4 Cylinder Engine Plug-In Electric/Gas,CVT Transmission,Blue,Black,At least 1 accident or damage reported,Yes,"$10,000",5,270.0,10.919538848906624
Toyota,Tundra Hybrid TRD Pro,2022,"19,000 mi.",Hybrid,437.0HP 3.4L V6 Cylinder Engine Gas/Electric Hybrid,10-Speed A/T,Orange,Black,None reported,Yes,"$71,000",5,459.0,11.020285477812829
Land,Rover Range Rover Evoque Pure,2015,"115,550 mi.",Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,9-Speed A/T,White,Black,None reported,Yes,"$17,500",5,270.0,12.82452778961392
Lincoln,Navigator Base,2009,"191,775 mi.",E85 Flex Fuel,310.0HP 5.4L 8 Cylinder Engine Flex Fuel Capability,6-Speed A/T,White,Beige,At least 1 accident or damage reported,Yes,"$9,750",5,729.0,12.809498871099464
Ford,Mustang Mach-E Select,2023,923 mi.,,Standard Range Battery,Automatic,Rapid Red Metallic Tinted Clearcoat,Black Onyx,None reported,,"$46,998",5,472.0,12.042472228182056
Mercedes-Benz,Sprinter 3500 High Roof,2017,"124,630 mi.",Diesel,188.0HP 3.0L V6 Cylinder Engine Diesel Fuel,5-Speed A/T,Black,Black,None reported,Yes,"$75,000",5,690.0,8.792026580979421
Mercedes-Benz,AMG E 63 S 4MATIC,2019,"17,000 mi.",Gasoline,603.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,9-Speed A/T,White,Brown,None reported,Yes,"$95,000",5,540.0,13.98376912890506
BMW,440 i xDrive,2018,"73,500 mi.",Gasoline,320.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,A/T,Black,Blue,None reported,Yes,"$32,000",5,405.0,11.27932621636878
Acura,Integra LS,1998,"120,000 mi.",Gasoline,140.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,4-Speed A/T,Red,–,At least 1 accident or damage reported,Yes,"$5,500",5,243.0,8.565363160826221
Audi,Q7 55 Prestige,2019,"73,837 mi.",Gasoline,3.0L V6 24V GDI DOHC Supercharged,8-Speed Automatic,Cobra Beige Metallic,Nougat Brown,None reported,Yes,"$36,340",5,405.0,13.737214409822206
BMW,M6 Base,2014,"29,500 mi.",Gasoline,560.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Silver,Black,None reported,Yes,"$40,999",5,594.0,10.286854063591758
Volkswagen,Arteon 2.0T SE,2021,"13,613 mi.",Gasoline,2.0 Liter TSI,Automatic,Pure White,Titan Black,None reported,,"$29,798",5,270.0,8.663585587690546
Lexus,LX 600 F SPORT,2023,"1,185 mi.",Gasoline,409.0HP 3.4L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,Black,Black,None reported,Yes,"$120,990",5,459.0,12.7309639489098
INFINITI,Q40 Base,2015,"143,250 mi.",Gasoline,328.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Silver,Black,None reported,Yes,"$11,500",5,500.0,10.495812157259252
